Description,,Summary Amt.
Beginning balance as of 05/01/2025,,"291.13"
Total credits,,"17821.91"
Total debits,,"-15453.01"
Ending balance as of 07/31/2025,,"2660.03"

Date,Description,Amount,Running Bal.
05/01/2025,Beginning balance as of 05/01/2025,,"291.13"
05/01/2025,"STRIPE DES:TRANSFER ID:ST-Y2N8E4S8F4Q1 INDN:ENJ DIGITAL CO ID:1800948598 CCD","104.37","395.50"
05/01/2025,"Monthly Maintenance Fee","-10.00","385.50"
05/02/2025,"STRIPE DES:TRANSFER ID:ST-E5X6S7E1S1X2 INDN:ENJ DIGITAL CO ID:1800948598 CCD","-62.20","323.30"
05/05/2025,"STRIPE DES:TRANSFER ID:ST-D4Q8W3K5Y0H1 INDN:ENJ DIGITAL CO ID:4270465600 CCD","1186.67","1509.97"
05/12/2025,"STRIPE DES:TRANSFER ID:ST-L0U2R9B1U2U6 INDN:ENJ DIGITAL CO ID:1800948598 CCD","-1030.00","479.97"
05/16/2025,"STRIPE DES:TRANSFER ID:ST-I1I3R5G5K7R3 INDN:ENJ DIGITAL CO ID:1800948598 CCD","557.72","1037.69"
05/19/2025,"STRIPE DES:TRANSFER ID:ST-B3I2G8E9T6E3 INDN:ENJ DIGITAL CO ID:4270465600 CCD","485.20","1522.89"
05/20/2025,"STRIPE DES:TRANSFER ID:ST-N7H1R1X2M8K1 INDN:ENJ DIGITAL CO ID: 800948598 CCD","242.45","1765.34"
05/21/2025,"STRIPE DES:TRANSFER ID:ST-O7X1C1V5S6O2 INDN:ENJ DIGITAL CO ID:1800948598 CCD","729.15","2494.49"
05/22/2025,"STRIPE DES:TRANSFER ID:ST-L3H2U2F1L4D2 INDN:ENJ DIGITAL CO ID:1800948598 CCD","242.45","2736.94"
05/23/2025,"STRIPE DES:TRANSFER ID:ST-O5F1C0N0C5E1 INDN:ENJ DIGITAL CO ID:1800948598 CCD","831.12","3568.06"
05/27/2025,"BO BREGMAN DES:IAT PAYPAL ID:1042419087618 INDN:JACK HUTCHEOSN CO ID:770510487C IAT PMT INFO: WEB 000000000000011851","-118.51","3449.55"
05/28/2025,"STRIPE DES:TRANSFER ID:ST-S3R8T4E5J1F3 INDN:ENJ DIGITAL CO ID:4270465600 CCD","-16.70","3432.85"
05/30/2025,"STRIPE DES:TRANSFER ID:ST-N7D0R0G8K6R6 INDN:ENJ DIGITAL CO ID:1800948598 CCD","235.20","3668.05"
06/02/2025,"STRIPE DES:TRANSFER ID:ST-G3B6R4C0Q4X8 INDN:ENJ DIGITAL CO ID:1800948598 CCD","-110.60","3557.47"
06/02/2025,"Monthly Maintenance Fee","-10.00","3547.47"
06/16/2025,"Transfer STRIPE ; "ENJDIGITAL.COM"","2395.80","5943.27"
06/20/2025,"Transfer STRIPE PAYMENTS COMPANY from ENJ DIGITAL ; "ST-O2UFPNTV5ZPL7W9OMJKI ENJDIGITAL.COM"","751.85","6695.12"
06/30/2025,"Interest Earned","0.04","6695.16"
07/09/2025,"Zelle payment from MY MOMENTUM MARKETING LLC for "Paid Ads Build Out"; Conf# 99bf4n3d1","950.00","950.16"
07/10/2025,"Transfer STRIPE ; "ENJDIGITAL.COM"","3482.84","4433.00"
07/21/2025,"Transfer STRIPE ; "ENJDIGITAL.COM"","3019.47","7452.47"
07/23/2025,"Transfer STRIPE ; "ENJDIGITAL.COM"","1636.84","1689.31"
07/30/2025,"Transfer STRIPE ; "ENJDIGITAL.COM"","970.70","2660.01"
07/31/2025,"Interest Earned","0.02","2660.03"
